"Dbkey","Station","Site","Group Name","Data Type","Frequency","Statistic Type","Recorder","Agency","Start Date","End Date","Strata","County","Op Num","Latitude","Longitude","X COORD","Y COORD","Basin","Structure Type","Section","Township","Range"
"88113","S331_R","S331","S331","RAIN","DA","SUM","SMWC","WMD","01-JAN-2000","31-DEC-2009","0","DAD","","253640.3","803034.72","817753.396","464680.61","L-31NS","","26","55","38"
"VN249","S331_R","S331","S331","RAIN","DA","SUM","NRG","WMD","01-OCT-2007","01-JAN-2019","0","DAD","","253640.3","803034.72","817753.396","464680.61","L-31NS","","26","55","38"
"16662","S331_R","S331","S331","RAIN","DA","SUM","OMD","WMD","08-JAN-1991","15-FEB-2019","0","DAD","","253640.3","803034.72","817753.396","464680.61","L-31NS","","26","55","38"
"P6930","S331_R","S331","S331","RAIN","DA","SUM","TELE","WMD","07-MAR-2003","17-FEB-2019","0","DAD","","253640.3","803034.72","817753.396","464680.61","L-31NS","","26","55","38"
"88116","S334_R","S334","S334","RAIN","DA","SUM","SMWC","WMD","01-JAN-2000","31-DEC-2009","0","DAD","","254542.362","803008.2","819973.214","519414.183","CA3B","","2","54","38"
"VN255","S334_R","S334","S334","RAIN","DA","SUM","NRG","WMD","01-OCT-2007","01-JAN-2019","0","DAD","","254542.362","803008.2","819973.214","519414.183","CA3B","","2","54","38"
"K8651","S334_R","S334","S334","RAIN","DA","SUM","TELE","WMD","18-MAR-1997","17-FEB-2019","0","DAD","","254542.362","803008.2","819973.214","519414.183","CA3B","","2","54","38"
"88117","S335_R","S335","S335","RAIN","DA","SUM","SMWC","WMD","01-JAN-2000","31-DEC-2009","0","DAD","","254633.98","802857.48","826419.781","524651.434","C4","","6","54","39"
"VN257","S335_R","S335","S335","RAIN","DA","SUM","NRG","WMD","01-OCT-2007","01-JAN-2019","0","DAD","","254633.98","802857.48","826419.781","524651.434","C4","","6","54","39"
"K8652","S335_R","S335","S335","RAIN","DA","SUM","TELE","WMD","18-MAR-1997","17-FEB-2019","0","DAD","","254633.98","802857.48","826419.781","524651.434","C4","","6","54","39"
"05920","S336_R","S336","S336","RAIN","DA","SUM","BELF","WMD","23-MAY-1979","31-OCT-1997","0","DAD","","254540.5","802949.13","821719.017","519233.848","L-29 CC","","1","54","38"
"88118","S336_R","S336","S336","RAIN","DA","SUM","SMWC","WMD","01-JAN-2000","31-DEC-2009","0","DAD","","254540.5","802949.13","821719.017","519233.848","L-29 CC","","1","54","38"
"VN259","S336_R","S336","S336","RAIN","DA","SUM","NRG","WMD","01-OCT-2007","01-JAN-2019","0","DAD","","254540.5","802949.13","821719.017","519233.848","L-29 CC","","1","54","38"
"16713","S336_R","S336","S336","RAIN","DA","SUM","CR10","WMD","12-OCT-1995","17-FEB-2019","0","DAD","","254540.5","802949.13","821719.017","519233.848","L-29 CC","","1","54","38"
"88119","S338_R","S338","S338","RAIN","DA","SUM","SMWC","WMD","01-JAN-2000","31-DEC-2009","0","DAD","","253939.66","802851.92","827092.426","482824.197","C1 WEST","","12","55","38"
"VN261","S338_R","S338","S338","RAIN","DA","SUM","NRG","WMD","01-OCT-2007","01-JAN-2019","0","DAD","","253939.66","802851.92","827092.426","482824.197","C1 WEST","","12","55","38"
"16661","S338_R","S338","S338","RAIN","DA","SUM","OMD","WMD","21-OCT-1993","15-FEB-2019","0","DAD","","253939.66","802851.92","827092.426","482824.197","C1 WEST","","12","55","38"
"K8654","S338_R","S338","S338","RAIN","DA","SUM","TELE","WMD","18-MAR-1997","17-FEB-2019","0","DAD","","253939.66","802851.92","827092.426","482824.197","C1 WEST","","12","55","38"
"88121","TPTS","TPTS","TPTS","RAIN","DA","SUM","SMWC","WMD","01-JAN-2000","31-DEC-2009","0","MON","","251223.436","802229.204","862883.138","317788.243","KEYS","","19","60","40"
"15658","TPTS","TPTS","TPTS","RAIN","DA","SUM","CR10","WMD","11-OCT-1991","02-DEC-2016","0","MON","","251223.436","802229.204","862883.138","317788.243","KEYS","","19","60","40"
"VN416","TPTS","TPTS","TPTS","RAIN","DA","SUM","NRG","WMD","01-OCT-2007","01-APR-2017","0","MON","","251223.436","802229.204","862883.138","317788.243","KEYS","","19","60","40"
"AN685","TPTS","TPTS","TPTS","RAIN","DA","SUM","CR10","ENP","16-NOV-2016","17-FEB-2019","0","MON","","251223.436","802229.204","862883.138","317788.243","KEYS","","19","60","40"
